unnamed:_0,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
0,dk49336,arizona,4809.21696,no,basic,college,2011-02-18,employed,m,48029,suburban,married,61,7.0,52,0.0,9,corporate auto,corporate l3,offer3,agent,292.8,four-door car,medsize,a,2
1,kx64629,california,2228.525238,no,basic,college,2011-01-18,unemployed,f,0,suburban,single,64,3.0,26,0.0,1,personal auto,personal l3,offer4,call center,744.924331,four-door car,medsize,a,1
2,lz68649,washington,14947.9173,no,basic,bachelor,2011-02-10,employed,m,22139,suburban,single,100,34.0,31,0.0,2,personal auto,personal l3,offer3,call center,480.0,suv,medsize,a,2
3,xl78013,oregon,22332.43946,yes,extended,college,2011-01-11,employed,m,49078,suburban,single,97,10.0,3,0.0,2,corporate auto,corporate l3,offer2,branch,484.013411,four-door car,medsize,a,1
4,qa50777,oregon,9025.067525,no,premium,bachelor,2011-01-17,medical leave,f,23675,suburban,married,117,15.149070740488469,31,0.384256105867471,7,personal auto,personal l2,offer1,branch,707.925645,four-door car,medsize,a,1
5,ho81102,california,4745.181764,no,basic,high school or below,2011-02-14,employed,m,50549,suburban,divorced,61,2.0,73,0.0,7,personal auto,personal l3,offer1,agent,292.8,four-door car,medsize,a,2
6,iw72280,california,5035.035257,no,basic,doctor,2011-02-14,employed,f,37405,urban,married,63,8.0,99,3.0,4,corporate auto,corporate l2,offer2,branch,287.556107,four-door car,medsize,a,2
7,ih64929,california,4956.247235,no,basic,high school or below,2011-02-24,employed,m,87197,urban,single,63,35.0,45,0.0,3,personal auto,personal l2,offer2,branch,247.402353,two-door car,medsize,a,2
8,fm55990,california,5989.773931,yes,premium,college,2011-01-19,employed,m,66839,suburban,single,154,33.0,24,0.0,1,personal auto,personal l1,offer2,branch,739.2,sports car,medsize,a,1
9,qx31376,oregon,17114.32815,no,extended,master,2011-01-04,employed,f,70961,suburban,married,85,19.0,8,0.0,2,corporate auto,corporate l3,offer2,agent,408.0,four-door car,small,a,1
10,hg93801,arizona,5154.764074,no,extended,high school or below,2011-01-02,employed,m,82730,urban,married,127,13.0,31,0.0,1,corporate auto,corporate l3,offer2,branch,442.521087,suv,large,a,1
11,ge63585,california,2420.711888,no,basic,bachelor,2011-02-07,employed,m,31710,urban,divorced,62,5.0,29,0.0,1,corporate auto,corporate l3,offer1,call center,199.551735,two-door car,medsize,a,2
12,eo51920,oregon,19955.25713,no,extended,high school or below,2011-01-31,employed,f,69096,rural,married,99,24.0,32,0.0,2,corporate auto,corporate l3,offer1,agent,64.669515,four-door car,medsize,a,1
13,kr82385,california,5454.587929,no,basic,master,2011-01-26,employed,m,66334,suburban,single,69,25.0,25,0.0,4,personal auto,personal l3,offer4,call center,331.2,two-door car,medsize,a,1
14,tl59568,arizona,12836.00951,no,premium,high school or below,2011-02-28,unemployed,m,0,suburban,married,116,6.0,28,0.0,2,personal auto,personal l2,offer3,agent,835.2,two-door car,medsize,a,2
15,cw49887,california,4626.801093,yes,basic,master,2011-01-16,employed,f,79487,suburban,divorced,114,20.0,87,0.0,1,special auto,special l1,offer2,branch,547.2,suv,medsize,a,1
16,fh51383,california,5326.677654,no,basic,high school or below,2011-02-07,employed,f,76717,urban,married,66,26.0,10,0.0,6,personal auto,personal l3,offer4,call center,300.528579,two-door car,large,a,2
17,tr26615,oregon,2497.531509,no,basic,high school or below,2011-01-17,unemployed,m,0,urban,married,69,5.0,74,0.0,1,corporate auto,corporate l2,offer2,branch,272.381465,two-door car,medsize,a,1
18,zc97968,california,2736.352663,no,basic,college,2011-02-14,disabled,m,17533,suburban,married,73,10.0,1,0.0,1,personal auto,personal l3,offer1,agent,350.4,two-door car,medsize,a,2
